collegeId,subjectId
KV,AAS
KL,ABE
KM,ACCY
KL,ACE
KL,ACES
KT,ADV
KP,AE
LD,AFAS
KV,AFRO
KV,AFST
KL,AGCM
KL,AGED
KY,AHS
KV,AIS
KL,ALEC
KL,ANSC
KV,ANTH
KV,ARAB
KR,ARCH
KR,ART
KR,ARTD
KR,ARTE
KR,ARTF
KR,ARTH
KR,ARTS
KV,ASRM
KV,ASST
KV,ASTR
KV,ATMS
KM,BADM
KV,BASQ
KV,BCOG
KV,BCS
KM,BDI
KV,BIOC
KP,BIOE
KV,BIOL
KV,BIOP
LT,BSE
KV,BTW
KM,BUS
LC,CB
KV,CDB
KP,CEE
KV,CHBE
KV,CHEM
KV,CHIN
KY,CHLH
KV,CHP
KN,CI
KS,CIC
KV,CLCV
LT,CLE
KV,CMN
KL,CPSC
KP,CS
KP,CSE
KV,CW
KV,CWL
KV,CZCH
KR,DANC
KV,EALC
KP,ECE
KV,ECON
KN,EDPR
KN,EDUC
KV,EIL
KP,ENG
KP,ENGH
KV,ENGL
KV,ENSU
KV,ENT
KV,ENVS
KN,EOL
KN,EPOL
KN,EPS
KN,EPSY
KV,ESE
KV,ESL
KV,EURO
KR,FAA
KM,FIN
KV,FLTE
KV,FR
KL,FSHN
KS,GC
KV,GEOG
KV,GEOL
KV,GER
KV,GLBL
KV,GMC
KV,GRK
KV,GRKM
KW,GS
KV,GWS
KL,HDFS
KV,HEBR
KV,HIST
KV,HNDI
KL,HORT
KN,HRD
KY,HT
KV,HUM
KV,IB
KP,IE
KY,IHLT
LP,INFO
LP,IS
KV,ITAL
KV,JAPN
KT,JOUR
KV,JS
KY,KIN
KV,KOR
KR,LA
KV,LAS
KV,LAST
KV,LAT
KU,LAW
KV,LCTL
KL,LEAD
LG,LER
KV,LING
KV,LLS
KT,MACS
KV,MATH
KM,MBA
KV,MCB
KT,MDIA
KV,MDVL
KP,ME
KL,MFST
KV,MICR
LD,MILS
KV,MIP
KP,MSE
KR,MUS
KR,MUSC
KV,MUSE
KV,NEUR
KP,NPRE
KL,NRES
LD,NS
KL,NUTR
LC,PATH
KV,PBIO
KV,PERS
KV,PHIL
KP,PHYS
KL,PLPA
KV,POL
KV,PORT
KV,PS
KS,PSM
KV,PSYC
KV,REES
KY,REHB
KV,REL
KV,RHET
KV,RMLG
KY,RST
KV,RUSS
KV,SAME
KT,SBC
KV,SCAN
KP,SE
KY,SHS
KV,SLAV
KV,SLS
KV,SOC
LL,SOCW
KV,SPAN
KN,SPED
KV,STAT
KV,SWAH
KP,TAM
KP,TE
KR,THEA
KP,TMGT
KV,TRST
KL,TSM
KV,TURK
KV,UKR
KR,UP
LC,VCM
LC,VM
LL,WGGP
KV,WLOF
KV,WRIT
KV,YDSH
KL,RSOC
LM,INFO
KS,CAS
LM,GCL
KV,ZULU
KV,SLCL
KV,CATL
LK,ENVS
KT,AGCM
KP,GE
KN,HRE
LP,LIS
KV,RLST
KV,HCD
KL,HDES
KV,SNSK
LE,AVI
KV,SCR
KV,BULG
XX,MACS
KV,BMNA
KV,CINE
KT,MS
KV,ESES
KV,LGLA
LC,VB
